"Sample","Riqueza","Acidobacteriota","Actinobacteriota","Armatimonadota","Bacteroidota","Bdellovibrionota","Chloroflexi","Crenarchaeota","Cyanobacteria","Dependentiae","Desulfobacterota","Elusimicrobiota","Entotheonellaeota","FCPU426","Fibrobacterota","Firmicutes","GAL15","Gemmatimonadota","Latescibacterota","Margulisbacteria","Methylomirabilota","Myxococcota","NB1.j","Nitrospirota","Patescibacteria","Planctomycetota","Proteobacteria","RCP2.54","SAR324.clade.Marine.group.B.","Spirochaetota","Thermoplasmatota","TX1A.33","Verrucomicrobiota","WPS.2"
40,"mono",0.428058226218411,0.108530431712939,0,0.00124592478767365,0,0.111022281288286,0.000114209772203418,0.000342629316610254,0.000176506011587101,0,0.0012563074942376,0.000280333077226571,0.000508752621633407,0,0.00745478331291401,0.00499408185725855,0.00665531490749008,0,0,0.000706024046348402,0.0302967377535976,0.000664493220092614,0.000228419544406836,0,0.00208692401935337,0.242062420831862,0.00559627883796748,0,0,0.000259567664098677,0,0.0289469859002845,0.0185123658035177
43,"mono",0.345559960356789,0.144222001982161,0,0.00427155599603568,0,0.170237859266601,0.000515361744301288,0.000614469772051536,0,0,0,0.000475718533201189,0,0,0.00961347869177403,0.00623389494549058,0.00533201189296333,0,0,0.00163528245787909,0.0352229930624381,0,0.000713577799801784,0.00134786917740337,0.00415262636273538,0.209890981169475,0.00580773042616452,0,0,0,0,0.0288602576808722,0.0252923686818632
46,"mono",0.346296249653679,0.181094627610004,0,0.00157418834848752,0,0.0795657758859532,0,0,0,0,0,0,0,0,0.0400851321058862,0.00206533511321563,0.00251870135758003,0,0,0.000957106515880412,0.0138150769463265,0.000214089615394303,0,0.000528927285091807,0.000868951968365111,0.293806513361711,0.00449588192328036,0,0,0,0,0.0186006095257285,0.0135128327834169
49,"tri",0.317553197739316,0.184967158988097,0.000528746166590292,0.00829543985806103,8.22494036918232e-05,0.103540249333192,9.39993185049408e-05,0.000446496762898469,0,0.000622745485095233,0.000328997614767293,0,0,0,0.0144641451349478,0.00224423372930546,0.0104691740984878,0,0,0.000951743099862526,0.025979061651803,0,0.000422996933272234,0.00240873253668911,0.00418296967346987,0.268650052287121,0.00365422350687958,0,0,0.000328997614767293,0,0.0234998296262352,0.0262845594369441
52,"mono",0.261151788959859,0.244508490419068,0,0.00612764189645324,0,0.113023835488394,0,0.000830866697824168,0,0.000441397933219089,0,0,0,0,0.0127226463104326,0.00262242301500753,0.0105156566443371,0.000233681258763047,0,0,0.0304564573921172,0,0.000103858337228021,0.000311575011684063,0.000675079191982136,0.28013190008828,0,0,0,0,0,0.0212649945474373,0.014877706807914
55,"tri",0.305399138787678,0.180994725711519,0,0.00329961525721711,0.000318495681198563,0.199633092975259,0.00015287792697531,0.000267536372206793,0.000140138099727368,0,0,0,0.000407674471934161,0,0.0100517236986266,0.00458633780925931,0.00848472494712972,0,0,0.000547812571661528,0.0192243993171453,0,0.00015287792697531,0.00105740566157923,0.00222946976838994,0.227979208601931,0.00284098147629118,0,0,0,0,0.0144597039264148,0.0177720590108798
58,"alt_div",0.355071738738919,0.142316851099594,0,0.00520280951713926,0,0.17629519940768,0,0.000500270145878775,0,0,0,0.00040021611670302,0,0,0.00970524083004823,0.00420226922538171,0.00500270145878775,0,0,0.00122065915594421,0.0273947931883217,0,0,0.00120064835010906,0.0019610589718448,0.228843575530787,0.00350189102115142,0,0,0,0,0.0121865807536069,0.0249934964881036
61,"mono",0.394631832555338,0.130891432013251,0,0.00383978316518597,0,0.138520805099634,0.000175676353962757,0.000213321286954776,0,0.000464287506901571,0,0,0,0,0.0122471515334036,0.00271043517542539,0.00450484364804497,0,0,0.00050193243989359,0.0219595442453446,0,0,0.00160618380765949,0.00194498820458766,0.244252873563218,0.00257240375445465,0,0,0,0,0.0135521758771269,0.025410329769613
64,"pasto",0.355083668350342,0.160093461155207,0.000426072913445349,0.00582070576916469,0,0.105191904614645,0.000584132220046043,0.000749063670411985,8.24657251829708e-05,0.000247397175548912,0.000213036456722675,0.00028175789437515,0.000274885750609903,0,0.0304367247362815,0.00252894890561111,0.00659725801463767,0,0,0.000852145826890699,0.025454420506477,0.000501666494863073,6.87214376524757e-05,0.00483111706696904,0.005662646462564,0.237734941414974,0.00498917637356973,0,0,0.000219908600487922,0,0.0267532556781088,0.0243205167852111
67,"mono",0.400625680557236,0.145729989456764,0.000449383825639076,0.0065247074684135,0,0.0897471351781115,0,0.000432099832345265,0.00235062308795824,0.000354321862523117,0,0,5.18519798814318e-05,0,0.0209222738821577,0.00199630122543512,0.00662841142817637,0.000267901896054064,0,0.00084691567139672,0.0303679762172252,0.000207407919525727,0.000216049916172633,0.00127901550374198,0.00232469709801753,0.238596885424408,0.00437285030333408,0,0,6.04939765283371e-05,0,0.0296679744888259,0.0159790518001279
70,"tri",0.439098168595767,0.11037795732209,0.000360481791751236,0.0039652997092636,0.00016456777449513,0.103356398943632,0.000352645231060992,0.000673944219361007,0.000470193641414656,0.000282116184848794,0,0.000376154913131725,0.000235096820707328,0,0.0125933530292225,0.00357347167475138,0.00411419436237824,0,0,0.00166135086633178,0.0363302953599724,0.000869858236617113,0.000148894653114641,0.000572068930387831,0.00310327803333673,0.233905663482411,0.0067629518756808,0,0,0.000172404335185374,0,0.020147797534618,0.016331392478469
73,"mono",0.367719567564755,0.148230059713531,0.000617950485904224,0.0065893036023261,0.000123590097180845,0.0903638752650682,0,0.00066348367960243,2.60189678275463e-05,0.000266694420232349,0.000286208646103009,0.000156113806965278,0.000448827195025173,0,0.0128663795907216,0.00267995368623727,0.00496311811310445,0,0,0.00109930139071383,0.0317951786852616,0.000487855646766493,0,0.000513874614594039,0.00322635201061574,0.278721688110633,0.00451429091807928,0,0,0.00020815174262037,0,0.0222462174925521,0.0211859445535796
76,"mono",0.340156016476506,0.143331024678307,0.000309845806145883,0.00297998760616775,0,0.12436663871979,0.000109357343345606,0.000200488462800277,0,0.000246054022527613,0,0.000236940910582146,0.00012758356723654,0,0.0200761856158641,0.00404622170378741,0.00473881821164291,0.000209601574745744,0,0.00105712098567419,0.0231290781175956,0.000428316261436956,0,0.000856632522873911,0.00312579739729523,0.267150876681369,0.00527649181642547,0,0,0.000209601574745744,0,0.0324517916378085,0.0251795283053257
79,"tri",0.374987744697539,0.139212065753783,0,0.00138076407725743,0.000261446452498448,0.0978054838393412,9.80424196869179e-05,0.000727147946011308,0,0.000196084839373836,0.000727147946011308,0,0.000457531291872283,0,0.0218062681786986,0.00245106049217295,0.00609497042387006,0,0,0.000457531291872283,0.0167979345730253,0,0,0.00102944540671264,0.000114382822968071,0.292215431876859,0.00310467662341907,0,0,0.000245106049217295,0,0.0189875486126998,0.0208421843851106
82,"hexa",0.406486027190332,0.153748111782477,0.00106998992950655,0.00859138972809668,0.000739551863041289,0.0664652567975831,0,0.000881168177240685,0,0,0,0,0,0,0.0380318479355488,0,0.00390231621349446,0,0,0,0.0173716012084592,0,0,0.0017151309164149,0.00605803121852971,0.230866062437059,0.00497230614300101,0,0,0,0,0.0362537764350453,0.0228474320241692
