"Sample","Riqueza","Acidimicrobiia","Acidobacteriae","Actinobacteria","AD3","Alphaproteobacteria","Anaerolineae","Babeliae","Bacilli","bacteriap25","Bacteroidia","Bdellovibrionia","Blastocatellia","Chitinivibrionia","Chlamydiae","Chloroflexia","Chthonomonadetes","Clostridia","Cyanobacteriia","Dehalococcoidia","Elusimicrobia","Entotheonellia","FFCH5909","Fimbriimonadia","Gammaproteobacteria","Gemmatimonadetes","Gitt.GS.136","Holophagae","Ignavibacteria","JG30.KF.CM66","Kapabacteria","KD4.96","Ktedonobacteria","Limnochordia","Lineage.IIa","Lineage.IIb","Lineage.IIc","Longimicrobia","MB.A2.108","Methylomirabilia","Myxococcia","Nitrososphaeria","Nitrospiria","Oligoflexia","Parcubacteria","Phycisphaerae","Pla4.lineage","Planctomycetes","Polyangia","Saccharimonadia","Sericytochromatia","Spirochaetia","Subgroup.5","Syntrophobacteria","Thermoanaerobaculia","Thermoleophilia","Thermoplasmata","TK10","Unclassified.Class.in.Chloroflexi","Unclassified.Class.in.Cyanobacteria","Unclassified.Class.in.Desulfobacterota","Unclassified.Class.in.FCPU426","Unclassified.Class.in.Firmicutes","Unclassified.Class.in.GAL15","Unclassified.Class.in.Latescibacterota","Unclassified.Class.in.Margulisbacteria","Unclassified.Class.in.Myxococcota","Unclassified.Class.in.NB1.j","Unclassified.Class.in.Patescibacteria","Unclassified.Class.in.Proteobacteria","Unclassified.Class.in.RCP2.54","Unclassified.Class.in.SAR324.clade.Marine.group.B.","Unclassified.Class.in.TX1A.33","Unclassified.Class.in.WPS.2","Vampirivibrionia","Verrucomicrobiae","Vicinamibacteria"
40,"mono",0.0202878086259526,0.409577008534585,0.0586519093797371,0.0723570820441473,0.198444670556721,0.000207654131278942,0.000176506011587101,0.00745478331291401,0,0.00124592478767365,0,0.000934443590755238,0,0,0,0,0,0,0,0,0.000280333077226571,0,0,0.0436177502751417,0.00665531490749008,0,0.00113171501547023,0,0.00102788794983076,0,0,0.0244097431318396,0,0.0012563074942376,0,0,0,0,0.000706024046348402,0.0203604875719002,0.000114209772203418,0.000228419544406836,0,0,0,0,0.00208692401935337,0.00993625018169736,0,0,0,0.00781817804265216,0,0,0.0295907137072492,0.000259567664098677,0.01020620055236,0.00281371347882966,0,0,0.000508752621633407,0,0.00499408185725855,0,0,0,0.000664493220092614,0,0,0.00559627883796748,0,0,0.0185123658035177,0.000342629316610254,0.0289469859002845,0.00859688103494819
43,"mono",0.0192368681863231,0.328473736372646,0.0902477700693756,0.103191278493558,0.174796828543112,0.000445986124876115,0,0.00961347869177403,0,0.00427155599603568,0,0.00206144697720515,0,0,0.000327056491575818,0,0,5.94648166501487e-05,0,0,0.000475718533201189,0,0,0.0350941526263627,0.00533201189296333,0,0.000376610505450942,0,0.000644202180376611,0,0.000247770069375619,0.0434985133795837,0,0,0,0,0,0,0.00163528245787909,0.0296927651139742,0.000515361744301288,0.000713577799801784,0,0,0,0.000128840436075322,0.00402378592666006,0.00553022794846383,0.00134786917740337,0.000317145688800793,0,0.0045193260654113,0,0,0.0347373637264618,0,0.0191575817641229,0.00272547076313181,0,0,0,0,0.00623389494549058,0,0,0,0,0,0,0.00580773042616452,0,0,0.0252923686818632,0.000237859266600595,0.0288602576808722,0.0101288404360753
46,"mono",0.0216104576480367,0.331410724630381,0.125746165277183,0.0464952270609274,0.244616275848173,0,0,0.0400851321058862,0,0.00157418834848752,0,0.000465959751152306,0,0,0,0,0,0,0,0,0,0,0,0.049190237513538,0.00251870135758003,0,0.000667455859758708,0,0.000541520791879707,0,0,0.0179331536659698,0,0,0,0,0,0,0.000957106515880412,0.00629675339395008,0,0,0,0,0,0,0.000868951968365111,0.00751832355237639,0.000528927285091807,0,0,0.00630934690073798,0,0,0.0337380046847845,0,0.0116489937788076,0.00294688058836864,0,0,0,0,0.00206533511321563,0,0,0,0.000214089615394303,0,0,0.00449588192328036,0,0,0.0135128327834169,0,0.0186006095257285,0.00744276251164899
49,"tri",0.0199983550119262,0.299881325860388,0.110637197880315,0.0490088946855135,0.223401130341805,0.000657995229534586,0,0.01398239862761,0,0.00829543985806103,8.22494036918232e-05,0.00123374105537735,0,0,0.000505246336964057,0,0.000481746507337822,0,0,0,0,0,0.000528746166590292,0.0452489219453159,0.0104691740984878,0,0.00125724088500358,0,0,0,0.000963493014675644,0.0319362684620536,0,0.000328997614767293,0,0,0,0,0.000951743099862526,0.0141116476905542,9.39993185049408e-05,0.000422996933272234,0,0,0.000646245314721468,0,0.0035367243587484,0.0118674139612488,0.00240873253668911,0.000446496762898469,0,0.0058749574065588,0,0,0.0543316060958558,0.000328997614767293,0.0197046071415982,0.000763744462852644,0,0.000622745485095233,0,0,0.00224423372930546,0,0,0,0,0,0,0.00365422350687958,0,0,0.0262845594369441,0,0.0234998296262352,0.00930593253198914
52,"mono",0.0288466531650828,0.247468453030067,0.149659863945578,0.0688321129978709,0.232694604559381,0.000181752090149037,0,0.0126187879732045,0,0.00589396063769019,0,0.00301189177961261,0,0,0.0004933271018331,0,0.000103858337228021,0.000830866697824168,0,0,0,0,0,0.0474372955288986,0.0105156566443371,0,0.0004933271018331,0,0,0.000233681258763047,0.00275224593654256,0.0217583216492704,0,0,0,0,0,0,0,0.0171366256426235,0,0.000103858337228021,0,0,0.000675079191982136,0,0,0.0133198317494937,0.000311575011684063,0,0,0.00275224593654256,0,0,0.0660019733084073,0,0.0180453860933686,0.000960689619359194,0,0.000441397933219089,0,0,0.00262242301500753,0.000233681258763047,0,0,0,0,0,0,0,0,0.014877706807914,0,0.0212649945474373,0.0074258711118035
55,"tri",0.0231737457640074,0.291194231406222,0.112441715290341,0.123690982750274,0.194626340866818,0.00010191861798354,0.000140138099727368,0.0100517236986266,0,0.00329961525721711,0,0.000293016026702678,0,0,0.000433154126430046,0,0,0,0.00010191861798354,0,0,0,0,0.0333528677351135,0.00848472494712972,0,0.00151603944250516,0,0.000917267561851861,0,0,0.0505898540015797,0,0,0,0,0,0,0.000547812571661528,0.0119499579585701,0.00015287792697531,0.00015287792697531,0.000318495681198563,0,0,0.000140138099727368,0.00208933166866257,0.00727444135857518,0.00105740566157923,0.000267536372206793,0,0.00507045124468112,0,0.000611511707901241,0.0453792646571713,0,0.0204729023874436,0.003325094911713,0,0,0.000407674471934161,0,0.00458633780925931,0,0,0,0,0,0,0.00284098147629118,0,0,0.0177720590108798,0,0.0144597039264148,0.00671388895966571
58,"alt_div",0.0166890120665159,0.343985752306245,0.0936905929201769,0.128309287014988,0.194665119164349,0,0,0.00970524083004823,0,0.00520280951713926,0,0.00020010805835151,0,0,0,0,0,0,0,0,0.00040021611670302,0,0,0.0341784563664379,0.00500270145878775,0,0,0,0.000780421427570888,0,0,0.0286154523442659,0,0,0,0,0,0,0.00122065915594421,0.021471594661117,0,0,0,0,0,0,0.0019610589718448,0.00592319852720469,0.00120064835010906,0.000500270145878775,0,0.00368198827366778,0,0,0.031937246112901,0,0.0185900386208553,0,0,0,0,0,0.00420226922538171,0,0,0,0,0,0,0.00350189102115142,0,0,0.0249934964881036,0,0.0121865807536069,0.00720389010065435
61,"mono",0.0212191938965015,0.379460924559554,0.0751392862520705,0.091853636500527,0.21146413692717,0.000250966219946795,0,0.0122471515334036,0,0.00383978316518597,0,0.000388997640917533,0,0,0.000388997640917533,0,0,0,0,0,0,0,0,0.0327887366360488,0.00450484364804497,0,0.00121718616674196,0,0.000991316568789841,0,0,0.0265020328263816,0,0,0,0,0,0,0.00050193243989359,0.0106033227927521,0.000175676353962757,0,0,0,0,0,0.00194498820458766,0.0113562214525925,0.00160618380765949,0,0,0.00494403453295186,0,0,0.034532951864679,0,0.0166265120714752,0.00190734327159564,0,0.000464287506901571,0,0,0.00271043517542539,0,0,0,0,0,0,0.00257240375445465,0,0,0.025410329769613,0.000213321286954776,0.0135521758771269,0.00862068965517241
64,"pasto",0.0185204274473422,0.340487234992956,0.0964711541765454,0.0525031783664914,0.198165137614679,0.000810912964299213,8.24657251829708e-05,0.0296601724908085,0,0.00566951860632924,0,0.000645981513933271,0,0,0.000288630038140398,0,0.000776552245472975,0,0,6.87214376524757e-05,0.00028175789437515,0,0.000426072913445349,0.0395698038002955,0.00659725801463767,0,0.0012713465965708,0,0.000680342232759509,0.000151187162835447,0,0.0312613819881112,0,0,0.000144315019070199,0,0,0,0.000852145826890699,0.0139435796996873,0.000584132220046043,6.87214376524757e-05,0,0,0.000460433632271587,0,0.00520221283029241,0.0115108408067897,0.00463182489777686,0.000446689344741092,0,0.00476239562931657,0,0,0.0451018795313198,0.000219908600487922,0.0196474590248428,0,0,0.000247397175548912,0.000274885750609903,0,0.00252894890561111,0,0,0,0.000501666494863073,0.00019929216919218,0,0.00498917637356973,0,0,0.0243205167852111,0.000302374325670893,0.0267532556781088,0.0079167096175652
67,"mono",0.0170765853742849,0.376946609744715,0.0897298511848177,0.0535803792108129,0.201073335983546,0.000362963859170023,0.00235062308795824,0.0202914081269336,0,0.00636915152876921,0,0.00210864718184489,0,0,0.000345679865876212,0,0.000630865755224087,7.77779698221477e-05,0.000337037869229307,0,0,0,0.000449383825639076,0.0375235494408628,0.00662841142817637,0,0.00170247333944034,0,0.000967903624453394,0.000155555939644295,0.000613581761930276,0.020256840140346,0,0,0,0,0,0.00014691394299739,0.00084691567139672,0.0189691826399571,0,0.000216049916172633,0,0,0,0,0.00232469709801753,0.0113987935772681,0.00127901550374198,0,0,0.00819261282126623,0,0.00058765577198956,0.0387766389546641,6.04939765283371e-05,0.0132827488462934,0,0,0.000354321862523117,5.18519798814318e-05,0,0.00199630122543512,0.000267901896054064,0,0,0.000207407919525727,0,0,0.00437285030333408,0,0,0.0159790518001279,0.000354321862523117,0.0296679744888259,0.0110876816979795
