"sample","Acidimicrobiia","Acidobacteriae","Actinobacteria","AD3","Alphaproteobacteria","Anaerolineae","Armatimonadia","Babeliae","Bacilli","Bacteroidia","Bathyarchaeia","Bdellovibrionia","Blastocatellia","Chlamydiae","Chloroflexia","Chthonomonadetes","Clostridia","Cyanobacteriia","Deferribacteres","Dehalococcoidia","Desulfitobacteriia","Elusimicrobia","Entotheonellia","FFCH5909","Fimbriimonadia","Gammaproteobacteria","Gemmatimonadetes","Holophagae","JG30.KF.CM66","KD4.96","Ktedonobacteria","Lineage.IIa","Lineage.IIb","Lineage.IIc","MB.A2.108","Methylomirabilia","Myxococcia","Nitrososphaeria","Nitrospiria","Oligoflexia","P2.11E","Parcubacteria","Phycisphaerae","Planctomycetes","Polyangia","Saccharimonadia","Sericytochromatia","SHA.26","Subgroup.5","Symbiobacteriia","Thermoanaerobaculia","Thermoleophilia","Thermoplasmata","TK10","Unclassified.Class.in.Armatimonadota","Unclassified.Class.in.Chloroflexi","Unclassified.Class.in.Cyanobacteria","Unclassified.Class.in.Desulfobacterota","Unclassified.Class.in.FCPU426","Unclassified.Class.in.GAL15","Unclassified.Class.in.Latescibacterota","Unclassified.Class.in.NB1.j","Unclassified.Class.in.Patescibacteria","Unclassified.Class.in.RCP2.54","Unclassified.Class.in.WPS.2","Vampirivibrionia","Verrucomicrobiae","Vicinamibacteria","bacteriap25","Chitinivibrionia","Gitt.GS.136","Ignavibacteria","Kapabacteria","Limnochordia","Longimicrobia","Pla4.lineage","Spirochaetia","Syntrophobacteria","Unclassified.Class.in.Firmicutes","Unclassified.Class.in.Margulisbacteria","Unclassified.Class.in.Myxococcota","Unclassified.Class.in.Proteobacteria","Unclassified.Class.in.SAR324.clade.Marine.group.B.","Unclassified.Class.in.TX1A.33"
"28",0.0205769925641367,0.339273149116635,0.0647072247684613,0.0719624213148736,0.196489359678984,0.00080824601106821,0,0.0007511933514634,0.0117433391019911,0.00427894947036114,0,0,0.00137877260711637,0,0.00034231595762889,0,0.00099842154308426,0.00341365079968811,0,5.70526596048152e-05,0,0,0.00046593005343932,0,0.00055150904284654,0.0325580510811479,0.00623775745012647,0.00198733430956773,0.00082726356426982,0,0.0494646558773748,0.00081775478766901,4.75438830040127e-05,0,0.00028526329802407,0.00079873723446741,0.0191316585208147,0.00052298271304414,0.00020919308521765,0.0004088773938345,0,0,0,0.00542951143905825,0.0105547420268908,0.00068463191525778,0,0,0.00719814388680752,0,0.00060856170245136,0.0473632162485975,0,0.0154517619763041,0,0.00027575452142327,0,0,0.00041838617043531,0.00454519521518361,0,0.00033280718102808,0,0.00741684574862598,0.0202441853831086,0.00029477207462487,0.0366848601258962,0.0114010231443622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0.0192311878278662,0.330314969199626,0.0745956770640604,0.0681308634988355,0.163731742887617,0.00085979843712587,0,0.00129513941794911,0.0128207918852441,0.0053111599660434,0,0.00014148581876755,0.00143662523671666,8.7068196164646e-05,0.00050064212794671,0,0.00088156548616704,0.00363509718987397,0,0,0,0,0.00079449729000239,8.7068196164646e-05,0.00080538081452297,0.0387126967197057,0.00793408937550336,0.00240525891904834,0.00085979843712587,0,0.0517293920463203,0.00093598310876994,0,0,0,0.00085979843712587,0.0215493785507499,0.00027208811301451,0.00030473868657626,0.00051152565246729,0,0,0.00027208811301451,0.00581180209399012,0.0113841666485275,0.00051152565246729,0,0,0.0082497115866002,0,0.00093598310876994,0.0537754946561895,0,0.0198515487255393,0,0.00261204588493938,0,0,0.00054417622602903,0.00467991554384972,0,0.00052240917698787,0,0.00797762347358569,0.0201562874121155,0.00025032106397335,0.0393983587645023,0.0120045275462006,0,0,0,0,0,0,0,0.00029385516205568,0,0,3.26505735617422e-05,0,0,0,0,0
"37",0.0247538954598733,0.286071425644052,0.0955320038360341,0.109826968631405,0.236940680814092,7.37698871320727e-05,0,6.55732330062868e-05,0.00815567085515692,0.0030737452971697,0,0,0.00174588732879239,2.45899623773576e-05,0,0,0.00390160736387407,3.27866165031434e-05,0,0.00010655650363521,0,0,0.00036065278153457,0,0.00046720928516979,0.0259014270374833,0.0051556954451193,0.00099179514922008,0.00093441857033958,0.00065573233006286,0.027598134441521,0,0,0,0,0.00117212153998738,0.0220489995983639,0.00014753977426414,0.00035245612740879,0,0,0,0,0.00290981221465398,0.00997532807108138,0.00080327210432701,0,0,0.00487700920484258,0,0.00070491225481758,0.0451963508495832,0.00022130966139621,0.0213113007270432,0,0.00447537315267908,0,0,0,0.00474586273883001,0.00021311300727043,0.00054917582642765,0,0.00316390849255334,0.0161474086277981,0.0002868828944025,0.0185080450160245,0.00947533216940845,0,0,0,9.01631953836444e-05,1.63933082515717e-05,0,0,0.00019671969901886,0,0,0,4.09832706289293e-05,0,0,0,0
"40",0.0202878086259526,0.409577008534585,0.0586519093797371,0.0723570820441473,0.198444670556721,0.00020765413127894,0,0.0001765060115871,0.00745478331291401,0.00124592478767365,0,0,0.00093444359075523,0,0,0,0,0,0,0,0,0,0.00028033307722657,0,0,0.0436177502751417,0.00665531490749008,0.00113171501547023,0.00102788794983076,0,0.0244097431318396,0.0012563074942376,0,0,0,0.0007060240463484,0.0203604875719002,0.00011420977220341,0.00022841954440683,0,0,0,0,0.00208692401935337,0.00993625018169736,0,0,0,0.00781817804265216,0,0,0.0295907137072492,0.00025956766409867,0.01020620055236,0,0.00281371347882966,0,0,0.0005087526216334,0.00499408185725855,0,0.00066449322009261,0,0.00559627883796748,0.0185123658035177,0.00034262931661025,0.0289469859002845,0.00859688103494819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",0.0192368681863231,0.328473736372646,0.0902477700693756,0.103191278493558,0.174796828543112,0.00044598612487611,0,0,0.00961347869177403,0.00427155599603568,0,0,0.00206144697720515,0,0.00032705649157581,0,0,5.94648166501487e-05,0,0,0,0,0.00047571853320118,0,0,0.0350941526263627,0.00533201189296333,0.00037661050545094,0.00064420218037661,0.00024777006937561,0.0434985133795837,0,0,0,0,0.00163528245787909,0.0296927651139742,0.00051536174430128,0.00071357779980178,0,0,0,0,0.00402378592666006,0.00553022794846383,0.00134786917740337,0.00031714568880079,0,0.0045193260654113,0,0,0.0347373637264618,0,0.0191575817641229,0,0.00272547076313181,0,0,0,0.00623389494549058,0,0,0,0.00580773042616452,0.0252923686818632,0.00023785926660059,0.0288602576808722,0.0101288404360753,0,0,0,0,0,0,0,0.00012884043607532,0,0,0,0,0,0,0,0
"46",0.0216104576480367,0.331410724630381,0.125746165277183,0.0464952270609274,0.244616275848173,0,0,0,0.0400851321058862,0.00157418834848752,0,0,0.0004659597511523,0,0,0,0,0,0,0,0,0,0,0,0,0.049190237513538,0.00251870135758003,0.0006674558597587,0.0005415207918797,0,0.0179331536659698,0,0,0,0,0.00095710651588041,0.00629675339395008,0,0,0,0,0,0,0.00086895196836511,0.00751832355237639,0.0005289272850918,0,0,0.00630934690073798,0,0,0.0337380046847845,0,0.0116489937788076,0,0.00294688058836864,0,0,0,0.00206533511321563,0,0.0002140896153943,0,0.00449588192328036,0.0135128327834169,0,0.0186006095257285,0.00744276251164899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0.0199983550119262,0.299881325860388,0.110637197880315,0.0490088946855135,0.223401130341805,0.00065799522953458,0,0,0.01398239862761,0.00829543985806103,0,8.22494036918232e-05,0.00123374105537735,0,0.00050524633696405,0,0.00048174650733782,0,0,0,0,0,0,0,0.00052874616659029,0.0452489219453159,0.0104691740984878,0.00125724088500358,0,0.00096349301467564,0.0319362684620536,0.00032899761476729,0,0,0,0.00095174309986252,0.0141116476905542,9.39993185049408e-05,0.00042299693327223,0,0,0,0.00064624531472146,0.0035367243587484,0.0118674139612488,0.00240873253668911,0.00044649676289846,0,0.0058749574065588,0,0,0.0543316060958558,0.00032899761476729,0.0197046071415982,0,0.00076374446285264,0,0.00062274548509523,0,0.00224423372930546,0,0,0,0.00365422350687958,0.0262845594369441,0,0.0234998296262352,0.00930593253198914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",0.0288466531650828,0.247468453030067,0.149659863945578,0.0688321129978709,0.232694604559381,0.00018175209014903,0,0,0.0126187879732045,0.00589396063769019,0,0,0.00301189177961261,0,0.0004933271018331,0,0.00010385833722802,0.00083086669782416,0,0,0,0,0,0,0,0.0474372955288986,0.0105156566443371,0.0004933271018331,0,0.00275224593654256,0.0217583216492704,0,0,0,0,0,0.0171366256426235,0,0.00010385833722802,0,0,0,0.00067507919198213,0,0.0133198317494937,0.00031157501168406,0,0,0.00275224593654256,0,0,0.0660019733084073,0,0.0180453860933686,0,0.00096068961935919,0,0.00044139793321908,0,0.00262242301500753,0.00023368125876304,0,0,0,0.014877706807914,0,0.0212649945474373,0.0074258711118035,0,0,0,0,0.00023368125876304,0,0,0,0,0,0,0,0,0,0,0
"55",0.0231737457640074,0.291194231406222,0.112441715290341,0.123690982750274,0.194626340866818,0.00010191861798354,0,0.00014013809972736,0.0100517236986266,0.00329961525721711,0,0,0.00029301602670267,0,0.00043315412643004,0,0,0,0,0.00010191861798354,0,0,0,0,0,0.0333528677351135,0.00848472494712972,0.00151603944250516,0.00091726756185186,0,0.0505898540015797,0,0,0,0,0.00054781257166152,0.0119499579585701,0.00015287792697531,0.00015287792697531,0.00031849568119856,0,0,0,0.00208933166866257,0.00727444135857518,0.00105740566157923,0.00026753637220679,0,0.00507045124468112,0,0.00061151170790124,0.0453792646571713,0,0.0204729023874436,0,0.003325094911713,0,0,0.00040767447193416,0.00458633780925931,0,0,0,0.00284098147629118,0.0177720590108798,0,0.0144597039264148,0.00671388895966571,0,0,0,0,0,0,0,0.00014013809972736,0,0,0,0,0,0,0,0
"58",0.0166890120665159,0.343985752306245,0.0936905929201769,0.128309287014988,0.194665119164349,0,0,0,0.00970524083004823,0.00520280951713926,0,0,0.00020010805835151,0,0,0,0,0,0,0,0,0,0.00040021611670302,0,0,0.0341784563664379,0.00500270145878775,0,0.00078042142757088,0,0.0286154523442659,0,0,0,0,0.00122065915594421,0.021471594661117,0,0,0,0,0,0,0.0019610589718448,0.00592319852720469,0.00120064835010906,0.00050027014587877,0,0.00368198827366778,0,0,0.031937246112901,0,0.0185900386208553,0,0,0,0,0,0.00420226922538171,0,0,0,0.00350189102115142,0.0249934964881036,0,0.0121865807536069,0.00720389010065435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
