"sample","Acidobacteriota","Actinobacteriota","Armatimonadota","Bacteroidota","Bdellovibrionota","Chloroflexi","Crenarchaeota","Cyanobacteria","Deferribacterota","Dependentiae","Desulfobacterota","Elusimicrobiota","Entotheonellaeota","FCPU426","Firmicutes","GAL15","Gemmatimonadota","Latescibacterota","Methylomirabilota","Myxococcota","NB1.j","Nitrospirota","Patescibacteria","Planctomycetota","Proteobacteria","RCP2.54","Thermoplasmatota","Verrucomicrobiota","WPS.2","Fibrobacterota","Margulisbacteria","SAR324.clade.Marine.group.B.","Spirochaetota","TX1A.33"
"34",0.355434143793126,0.147602359548116,0.00080538081452297,0.0053111599660434,0.00065301147123484,0.144544089157833,0.00027208811301451,0.00388541825384733,0,0.00129513941794911,0,0.00093598310876994,0.00079449729000239,0.00054417622602903,0.0137350079449729,0.00467991554384972,0.00793408937550336,0,0.00085979843712587,0.0329335451992773,0.00052240917698787,0.00030473868657626,0.00051152565246729,0.00637774536906032,0.202444439607322,0.00797762347358569,0,0.0394854269606669,0.0201562874121155,0,0,0,0,0
"37",0.303866361751133,0.165482250145491,0.00046720928516979,0.00318030180080491,0,0.164982254243818,0.00014753977426414,0.00031966951090564,0,6.55732330062868e-05,0,0,0.00036065278153457,0,0.012057278219031,0.00474586273883001,0.0051556954451193,0.00021311300727043,0.00117212153998738,0.0320243276694453,0.00054917582642765,0.00035245612740879,0.00080327210432701,0.00310653191367284,0.262842107851575,0.00316390849255334,0.00022130966139621,0.0185326349784018,0.0161474086277981,0,4.09832706289293e-05,0,0,0
"40",0.428058226218411,0.108530431712939,0,0.00124592478767365,0,0.111022281288286,0.00011420977220341,0.00034262931661025,0,0.0001765060115871,0,0.0012563074942376,0.00028033307722657,0.0005087526216334,0.00745478331291401,0.00499408185725855,0.00665531490749008,0,0.0007060240463484,0.0302967377535976,0.00066449322009261,0.00022841954440683,0,0.00208692401935337,0.242062420831862,0.00559627883796748,0.00025956766409867,0.0289469859002845,0.0185123658035177,0,0,0,0,0
"43",0.345559960356789,0.144222001982161,0,0.00427155599603568,0,0.170237859266601,0.00051536174430128,0.00061446977205153,0,0,0,0,0.00047571853320118,0,0.00961347869177403,0.00623389494549058,0.00533201189296333,0,0.00163528245787909,0.0352229930624381,0,0.00071357779980178,0.00134786917740337,0.00415262636273538,0.209890981169475,0.00580773042616452,0,0.0288602576808722,0.0252923686818632,0,0,0,0,0
"46",0.346296249653679,0.181094627610004,0,0.00157418834848752,0,0.0795657758859532,0,0,0,0,0,0,0,0,0.0400851321058862,0.00206533511321563,0.00251870135758003,0,0.00095710651588041,0.0138150769463265,0.0002140896153943,0,0.0005289272850918,0.00086895196836511,0.293806513361711,0.00449588192328036,0,0.0186006095257285,0.0135128327834169,0,0,0,0,0
"49",0.317553197739316,0.184967158988097,0.00052874616659029,0.00829543985806103,8.22494036918232e-05,0.103540249333192,9.39993185049408e-05,0.00044649676289846,0,0,0.00062274548509523,0.00032899761476729,0,0,0.0144641451349478,0.00224423372930546,0.0104691740984878,0,0.00095174309986252,0.025979061651803,0,0.00042299693327223,0.00240873253668911,0.00418296967346987,0.268650052287121,0.00365422350687958,0.00032899761476729,0.0234998296262352,0.0262845594369441,0,0,0,0,0
"52",0.261151788959859,0.244508490419068,0,0.00612764189645324,0,0.113023835488394,0,0.00083086669782416,0,0,0.00044139793321908,0,0,0,0.0127226463104326,0.00262242301500753,0.0105156566443371,0.00023368125876304,0,0.0304564573921172,0,0.00010385833722802,0.00031157501168406,0.00067507919198213,0.28013190008828,0,0,0.0212649945474373,0.014877706807914,0,0,0,0,0
"55",0.305399138787678,0.180994725711519,0,0.00329961525721711,0.00031849568119856,0.199633092975259,0.00015287792697531,0.00026753637220679,0,0.00014013809972736,0,0,0,0.00040767447193416,0.0100517236986266,0.00458633780925931,0.00848472494712972,0,0.00054781257166152,0.0192243993171453,0,0.00015287792697531,0.00105740566157923,0.00222946976838994,0.227979208601931,0.00284098147629118,0,0.0144597039264148,0.0177720590108798,0,0,0,0,0
"58",0.355071738738919,0.142316851099594,0,0.00520280951713926,0,0.17629519940768,0,0.00050027014587877,0,0,0,0,0.00040021611670302,0,0.00970524083004823,0.00420226922538171,0.00500270145878775,0,0.00122065915594421,0.0273947931883217,0,0,0.00120064835010906,0.0019610589718448,0.228843575530787,0.00350189102115142,0,0.0121865807536069,0.0249934964881036,0,0,0,0,0
"61",0.394631832555338,0.130891432013251,0,0.00383978316518597,0,0.138520805099634,0.00017567635396275,0.00021332128695477,0,0,0.00046428750690157,0,0,0,0.0122471515334036,0.00271043517542539,0.00450484364804497,0,0.00050193243989359,0.0219595442453446,0,0,0.00160618380765949,0.00194498820458766,0.244252873563218,0.00257240375445465,0,0.0135521758771269,0.025410329769613,0,0,0,0,0
